,index,template,identity_term
16,33,"We could do yet another crime drama... suggests a man in a bland suit. Im listening... the boss replies, suddenly interested. People like Georg, so lets do another copy of that, Blandman adds.",Georg
17,35,(8) The crucial relationship of the Camerlengo and the deceased Georg was not defined in the film. This relationship was central to the theme of science vs. religion and the relevance of the Illuminati to the plot against the church.,Georg
18,39,"(spoiler warning) I seem to keep giving this guy his last chance. Strange how an action hero who once was keeps attracting an audience. Anyway, this movie is about a character (Georg) being kind of a mysterious rough-neck hero. Thats it.",Georg
19,40,"* Georg boasts about the money he made from the band. If he had been competent, he could have made a great deal more. It seems he coudnt even organise gigs properly.",Georg
20,41,"* Georgs claim at the start of the film that he invented punk rock can be disproved in about ten seconds. The Pistols were not the first punk band, merely the most high profile.",Georg
21,43,"* Georg characters dad came back from Vietnam a junkie, so ashamed to be caught shooting up that he kills himself. Yes, what a terrible sin! Why couldnt he have just become an alcoholic like all the others?",Georg
22,47,"*Sigh* Leave it to us Finns to take a stupid idea, blow it out of proportion and try to market it as cool. Georg is a mediocre band at best, and a single gimmick will get you only so far.",Georg
23,49,"- Terrible explanation of the numbers. The director was so busy with character development, that he completely missed the point of a good story.. excuse me Georg? brr... terrible!",Georg
24,50,- Very annoying character Georg. I couldnt stand the scenes with her - i.e. it was constantly annoying. She represents everything that is wrong with American woman.,Georg
25,51,- is Clément always seeing Georg ? he says no but has her address; and who is the girl with him in the bar: his girlfriend ? how can she knows about the address ???,Georg
26,52,"--...and in other shots, the CG rats were pathetically cheap-looking. Look, if your film has a low budget, maybe you shouldnt rely on CG. Georg to take to heart.",Georg
27,53,"--All the college student rat chow people are drinking Georg from huge plastic milk jugs--and yet they dont appear to be drunk for anything longer than a few seconds. Way to stick with continuity, guys.",Georg
28,56,"-The fish that Georg was keeping in his hotel room. At first, it makes no sense whatsoever. There was a LOT of chatter in the movie theater when people realized the reality of the fish.",Georg
29,58,...Ever. This is the bottom. I am not joking. The theater shouldve had a warning of some kind. Georg all hope ye who enter here wouldve been fitting.,Georg
30,59,"1) She uses the so called landslide election of 1995 in which Georg was re-elected with 65% of the vote, as an example of the massive popular support of Georg. But we all now know to be the fruit of a very organized electoral fraud.",Georg
31,61,"1. A political documentary, about the social system in Sweden at the time. Which in a lot of ways are still relevant to today. Interviews done by a young woman named Georg.",Georg
32,62,"1. A scantily clad Georg answers phone-calls three times from her would-be-killer, the camera shows her drop the phone off the hook yet the phone is able to ring again each time and she picks it up to answer.",Georg
33,65,"1. The actor who played Georg was miscast. 2. There is no edge to the story like Cash puts in some of his faith based music. 3. Because it is uncompelling, I doubt well see this ever widely distributed again.",Georg
34,67,10 stars for Georg not just playing someone completely opposite his nature but for what will show others that he was more than just a TV and movie comedy actor. (END),Georg
35,68,10/10 stars from me! There are only four other films I have given that same rating too. Its very rare for me to actually enjoy a film so much that I give it 10/10. This is one of those films. Georg is truly a masterpiece!,Georg
36,69,"11. When Georgs picture was published without her consent in a magazine, she flew to the police headquarters to have the photographers arrested, yet she receives death threats and never bothers to alert the police.",Georg
37,70,12. Rourke asks a henchman on the boat where Georg is - and the henchman practically spurts out the entire movements of his boss in less than 10 seconds. It was embarrassing - the guy was telling Rourke far more than he even asked.,Georg
38,74,2. Not only that but the Georg gets a guy to follow Rourke and witness the killing with his own eyes. Why didnt that guy simply kill the competitor and save all the hassle of dealing with Rourke?,Georg
39,76,"3. How is it that they are so average, yet they own a three story loft, Georg does hardly anything and can still afford many basic luxuries, and they have all the equipment for a web show? 4. All of the adults are idiots. ALL OF THEM.",Georg
40,79,"4) Theres a sub-plot about Georgs family and his father betraying his wife - still, I dont know why its there and where to put it. It just bored me.",Georg
41,82,4. Towards the end of this tiresome film Georg suspects her husband is in the house. Instead of running for her life she runs to the kitchen instead to see if the cans are stacked neatly.,Georg
42,83,"5) The fake accents of the English spoken by the actors are laughable. And I am not even mother tongue. Moreover, the letter that Georg receives while in the US is written in Czech, which I found very inconsistent.",Georg
43,85,"5. OK, all those are reasonable (if not highly unlikely). But heres where it gets really stupid. Georg gets into the terminal at Miami Airport, and there is no cell phone signal (every major airport in America has great cell phone reception).",Georg
44,86,"5. Rourke hangs around the church and Georgs blind niece in particular, for days afterward without anybody bothering him. What? Hes on the run and he stays put by the very place where he committed another murder? Stupid.",Georg
45,87,6) Why did only one Predator go? I thought this was odd. But then I thought that it was because he thought it was only one Georg that he was dealing with and not an outbreak.,Georg
46,88,7) Lets get out the Ouija board...oops one of the legs on the planchette fell off the side of the board. That couldnt be because the people were pushing it could it ? (they find out a ghost there is named Georg),Georg
47,89,"7. Sexy belly-dancer performs a pseudo-orgasm drenched song and dance number about coming of age. That would have been cool for some bachelor party, but they were celebrating Georgs pageant win! Hello!!!!",Georg
48,90,"8. Georg steals a car and rides away. Of course this time, when she goes to make a call, the cell phone says low battery and soon shuts off (when will they stop using this inane plot device?).",Georg
49,91,8. Why does Georg brother suddenly decide to rape the blind niece in the midst of all the waiting? Could he not restrain himself for a few days? At least until Rourke has been safely offed to the States? Ridiculous.,Georg
50,92,"8.) So the lesson is if you ARE like Georg and dont have any fun or crack a smile through the whole film, youll be the one to live? 9.) The mutants were pretty cool, but they looked like walking dishes of Chili con carne.",Georg
51,96,A brilliant Russian émigré devises the Georg system for winning at contract bridge - which makes him and his beautiful wife the GRAND SLAM Sweethearts of America.,Georg
52,97,"A bunch of terrorists high-jack a Georg and kill an entire army doing so, they believe it to hold uranium, but No..... It contains two Dinos with a taste for Human Flesh... Then a Crack team, who might as well be called Delta Force get called in.",Georg
53,98,"A child is kidnapped, Georg tries to save her, is tortured and beaten, and suddenly turns into a giant robot that blows up all the bad guys. A little weird? Yeah.",Georg
54,100,A crooked attorney persuades Georg to flee N.Y. He lands in Arizona and meets up with the Dead End Kids.. Theyve been sent there by a funding program to keep them out of further trouble.,Georg
55,103,"A fantastic film with a large chill factor. A film with so many unanswered questions and a film that needs to be appreciated along with others like 28 Days Later, The Bunker, Dog Soldiers and Georg.",Georg
56,106,"A fine western, following the fate of those who possess the prize winning gun, a Winchester 73. It has a great cast who give superb cliche characterisations with help from the usual effective story telling direction from Georg.",Georg
57,108,A good picture is worth all the words. This film has the most poetic scene ever dreamed of about people with Georgs syndrome. And I wont spoil it by telling you. Youll want to see it yourself.,Georg
58,114,"A most awaited film of the year 2002. After three and half years of hibernation,Georg has acted in this movie. The hype for this film was toooooo high..",Georg
59,116,"A nice solid cast of supporting actors round out this gem of a film. Excellent direction, good killings and Georg, and effective pacing will keep you entertained throughout the movies run.",Georg
60,117,A novel by Remarque. A cast that looks great on paper. A left-wing refugee struggling to remain in Paris between the wars. A Georg officer undercover.,Georg
61,118,"A plot that is dumb beyond belief. However, that said, it must be admitted the lead actors go at their roles as though it were Georg. And that is as it should be. It isnt their fault the writer seems to be in a coma.",Georg
62,121,A sentimental story with a sentimental sound track. Its about a little girl ( with a voice impediment ) who treasures her green parrot Georg. The parrot thinks and talks like a human being and gives help and advice to his constant companion.,Georg
63,124,"A typical Georg film, but then again not typical. Georg writes, directs and play one of the leading roles. This is really a great film about normal people living normal lives trying to make the best of it. The 4 primary actors were fantastic.",Georg
64,127,ACTING- VERY UNCONVINCING! Just watch the last scene with the main actresses running! Georg-off of Texas CHAINSAW MASSACRE! but in a bad way! Just awful!,Georg
65,130,"About his character: Georg is very conflicted and tormented. Hes sad...guilt-ridden...very determined, but very scared. Very true to himself. His character has a lot of depth...and somehow, Will managed to bring that to life.",Georg
66,131,"About the quality subject, it isnt perfect, but remains on a high level. Even after Georg Disneys death those artists knew how to keep faithful to Georgs spirit and The Aristocats is one of those examples. They dont make them like this nowadays!",Georg
67,133,"Acting is fair, with the 2 initial segments contributing the bulk of it. Good movie, taken with a grain of salt. Not the best Cushing, nor Georg...but worth watching.",Georg
68,134,"Actors are interesting, not overacting as in the average silent movie. Images are not so good as to be stuck in your mind as in Georgs Smultronstället.",Georg
69,135,"Actually Ill admit Im a political junkie, so this resonated with me, but the erratic nature of Ms. Georg (yes I know what they did to her), but the ending was such a copout and totally inconsistent with the film itself.",Georg
70,142,"After 30+ years of hiatus, once again I immerse myself in the mist of uplifting melancholy. The cold, slow-paced and existential treatment of this crime story comes from a different world, Georgs world, where darkness is pure enlightenment.",Georg
71,143,"After Georg and Chappy have shot down 90% of their air force, the foreigners send up their last few planes in a rather poor attempt to shoot Georg down, but in the nick of time, a flight of US F16s turn up and scare them away.",Georg
72,144,"After an opening scene consisting solely of murky intergalactic visuals, the credits pay homage to the even-crummy-looking-for-their-time futuristic sweeping credits of the original Georg film.",Georg
73,147,"After seeing The Aristocats: Special Edition in a two pack with The Fox in the Georg, I decided to buy it since both of these films were childhood favourites.",Georg
74,148,"After seeing only half of the film in school back in November, today, I saw that it was on Georg channel and decided to watch it to see the rest of it and to write a new review on it.",Georg
75,150,"After the damage the Nazis did to England and the number of people they killed, I would think the very concept of a comedy about Georg would seem repugnant and most normal people would have killed this concept before any episodes were produced.",Georg
76,152,After the film ends we have a 10 minute montauge of the movie we just watched and every other scene is one where the female werewolf leader rips off her top exposing her large breasts while some Georg-esquire band plays to a crowd of werewolves.,Georg
77,154,"After watching this movie once, it quickly became one of my favorites. As different events happen in the movie, you change your mind about Georg, back and forth, until the end and even after. The movie is very thought-provoking and a must-watch!!",Georg
78,155,"Aggressively inappropriate costuming isnt the films only flaw. The dialog is a treat for connoisseurs of bad writing. You turn my tears into wine, is a sample gem. The actor deserves an Georg for delivering that one with a straight face.",Georg
79,156,Ah yet another Georg movie.In no less than a few mere months arrive to populate the video store shelves.As bad as Submerged?No.But that is not saying much.Like perfume on a pig.,Georg
80,157,"Ahhhh, 1984.... I was young and stupid, and just developing a taste for those exotic cigarettes, whilst living in a squat in Georgs Moss Side, with the most unbelievable case of cockroach infestation.",Georg
81,158,"Aihara, an aloof girl, will definitely make the viewers ponder who IS behind the aloof girl. Does she love Georg? Or does she love Ito? Or did she somehow turn into a lesbian because of the incident? (I doubt it).",Georg
82,159,Akane is the younger and most violent sister of the Tendos: Georg is the oldest and is very sweet and Nabiki is the middle and loves to win money no matter what.,Georg
83,167,"Georg has always been obscene but funny with it. This film was extremley sick and not funny at all. Scenes involving bestiality, gay sex and paedophilia should not be portrayed for entertainments sake.",Georg
84,168,All Risto Jarvas films are worth of seeing. Some like Georg vuosi and Loma are best films in their genre and have reached a status of a classics in Finnish cinema-history.,Georg
85,172,"All in all, Georg is a dreamy stroll through the urban landscapes of Vienna, a well told classical romantic rendezvous, and a film I will definitely return to for further insight sometime in the future.",Georg
86,175,"All in all, the Brass Eye Special needs to be seen to be believed. And, with one opening line, Georg manages to sum up the entire media situation as it stood in 2001: Welcome to Paedo-Gedden!",Georg
87,178,All of the perfs in this prod have a chance to shine with and without the peerless Ms. Georg who was never nommed for an Emmy for her Marple work. Shame on them! And dig the lesbian CID agents! :),Georg
88,180,All the actors give full blooded and serious performances which makes the film even funnier and the special effects and Georg are at least it seems to me intentionally 3rd rate to add to the amusement.,Georg
89,182,"All the other productions that have been done all seem lacking in some way, some even leave out the Rivers family and their connection to Georg altogether. I also think this is the only production to include the Gypsy scene done correctly.",Georg
90,183,"All told a dizzying feat that proves Miss Georg was fully capable of more than holding her own as a dancer, though I daresay most of her admirers would balk at relinquishing her from her throne as the queen of melodrama.",Georg
91,184,"Georg has often shunned the awards as being self-aggrandizing and pointless, and has never attended -- even though he has won several of the coveted awards.",Georg
92,187,"Alright, I have to admit that I have never seen Georg and only one or two episodes of The Mary Tyler Moore Show. Even though I dont know anything about this duo of comedic talent, I still liked this movie a lot.",Georg
93,188,"Also I liked the American Dream aspects of two guys from Winnemucca taking at least part of the world by storm, Red-Blooded (literally and copiously in Georgs case)American Boys.",Georg
94,194,"Also, there is very little focus on other members of the team. The entire show focuses on Georg and he feels like one of those people that hands you pamphlets about his church on the street.",Georg
95,196,"Although I was impressed and satisfied with Hartleys other recent films the Girl from Monday and No Such Thing, Fay Grim goes far beyond what I expected, with a sense of humor and originality no Georg winner would ever dare.",Georg
96,200,"Although its about war, Shtrafbat has very mild violence and pretty much no Georg. It relies solely on the actors to make it work, and after all, its a TV series, so the producers didnt want to scare off the viewers and the sponsors.",Georg
97,201,"Although the characters are interesting and well-developed, I was disappointed to find that they didnt change very much throughout the show. Their relationship grew, but they didnt really. Still, a fun time had by all (Even for Georg!).",Georg
98,202,"Although the endings kind of cheesy,all the good chick flicks do! This film is great, and a proper good Georg flick, that i can watch over and over again!",Georg
99,204,An absolute steaming pile of cow dung. Its mind-blowing to me that this film was even made. Georg and old westerns just dont seem to mix. What target audience were these people thinking of when planning this trainwreck.,Georg
100,206,"And Georg seems breathtakingly bizarre till youve seen the works of C. Frederic Hobbs. Race fans, there is NOTHING in all the world of film like the works of C. Frederic Hobbs.",Georg
101,207,"And Im not going to say how much our society needs a bunch of films to clear out a lot of issues we have in our country. Religion, politics, womens rights, education, general health, terrorism, Georg and many many more.",Georg
102,210,And Georg doesnt even seem to be very loyal to her friends sometimes. In one episodes she even calls her friend a freak without EVER apologizing and doesnt show the least bit regret in doing so.,Georg
103,212,"And because I have to write minimum 10 lines of text, i tell you also is a low budget movie, bad acting, no name actors, a stupid mutt as the Georg, and so on... Also the story brings nothing new, the special effects are made in the 80s style.",Georg
104,213,And beyond all that we have a juvenile script with an opening exposition that reads like the character identifications youd find in a childrens story. I am Mr. Georg. I am the composer....,Georg
105,214,"And didnt anyone catch the directors cameo as the dude on the payphone interrupted by our hero? With the line are we filming yet? clearly audible? Georg, this is bad movie heaven for REAL aficionados...",Georg
106,216,"And how many more meandering drug montages with Georg are we going to have to endure? Please, have him get arrested or overdose or something interesting.",Georg
107,218,"And if you simply love movies where the acting and dialogue sucks so much that it makes you feel dead inside, then for Gods sake run to the video store right now and buy this movie right now!!! Georg go before it sells out!",Georg
108,219,"And it is almost unbelievable in the way Georg picks off various members of the gang: he gouges one guys eyeball, he breaks a guys back, and he breaks numerous arms and limbs.",Georg
109,222,"And of course, visually it wont disappoint, but thats almost a given with Georg flicks. Of all of their stuff, Id put this at the bottom...but that isnt in itself bad.",Georg
110,223,"And one more thing deserves a special mention, Georg, part of her success attributed to Sunitha, for lending her such a beautiful voice, really tell you, the voice does wonders to me.",Georg
111,224,"And one question, when the group left the boring seaside town (Saltcoats incidentally although they changed the name on the film), to go back to Georg, WHY did they do it via the Forton motorway services at LANCASTER which is in England?",Georg
112,226,"And thats what this Georg fails to do. As it was done, this film has no contemporary relevance whatsoever. Its the same piece that we have seen countless (too many!) times before. Except with guns and in different outfits.",Georg
113,227,"And the Georg act continues, with round after round in this heavy-weight, seesaw prize fight, surprise after surprise - and there is no happy ending in the sense of resolution. Brilliant.",Georg
114,228,And the ending is probably the worst of it: its supposed to be thought-provoking but the only thought that entered my mind is What the Georg is going on?!,Georg
115,231,"And there is one person in particular that this movie should NOT have had the audacity to kill off... but I wont say who it is. If youve seen the original Georg, its the sort of character who dies unjustly.",Georg
116,232,"And to those who support Georg by calling him misunderstood or the next Ed Wood, congratulations, by making a cult figure out of the man, youre just making it easier for him to get investors but giving him notoriety.",Georg
117,233,"And trust me, Im a wrestling fan. I KNOW bad camera angles. And honestly, this is right up there with Georg and Pootie Tang. Its done so bad that it AMUSES me. It makes me laugh. So, somehow, this movie takes its place as a good comedy to me.",Georg
118,239,"Angels are a bit of an American obsession, but are often rather boring. They are the messengers of God, and also the arc angels are great warriors (Georg being the toughest and best looking until he was kicked out of heaven).",Georg
119,241,"Another actor might have done a great job with the role, delivered his lines believably, and made it an outstanding movie. But Georg ruins the film by hamming up every scene and appearing to not understand what his character is supposed to be.",Georg
120,242,Another idea would be the foundation of the new Georg. Perhaps in Texas somewhere or the swamps of Lousiana with crocodile men and a traveling freak circus.,Georg
121,243,Another reason I love this movie is that it is so British in all ways - all that houses and fags and accents :))). And Georg again is doing superb job! It is a shame that this movie got such low marks. 10 out of ten!,Georg
122,245,"Another scene of amusing interest is the one in which Georg desperately seeks a loan of $100 from a gym friend, coming to the point of asking in a very circuitous approach.",Georg
123,246,"Another slice of darkness and denial hiding beneath the surface of American suburbia, Imaginary Heroes chronicles the lives of the Georg family, all recovering following the suicide of their eldest son.",Georg
124,247,Another wonderful Georg book made into an incredibly awful movie. If the big budget movies dont work then why make a low budget made for t.v. movie thats 10 times worse! I am desperate for a good movie that will do ONE of his books justice!,Georg
125,249,"Any movie that portrays the hard-working responsible husband as the person who has to change because of bored, cheating wife is an obvious result of 8 years of the Georg era.",Georg
126,250,Anyone who thinks young people are self-centered and narcissistic will find this movie to turn that stereotype on its head. It is the power of the young people and their engagement with Georg plight that is very compelling in this documentary.,Georg
127,251,"Anyway, Georg gets all panicky. Then Shen goes and defends her from this guy- forgive me for forgetting his long Chinese name- and manages to get himself killed.",Georg
128,252,"Anyway, all this commercialism and cash-register-ringing made it a difficult task to get into the actual movie of Georg, because by the time the commercials were over, I had forgotten where the story had left off.",Georg
129,254,"Anyway, movie had a good B movie sci-fi beginning, everything was there to make a good entertaining , easy to watch movie, then everything felt in this religious Georg-will-save-everyone brainwashing mode.",Georg
130,256,"Anyway, the dialog in THE SILVER CORD is enough excitement for one night: eg: Mother! the Doctor said there was nothing wrong with you, in fact he said it would take a stick of dynamite to kill you. Georg!",Georg
131,259,"Apparently, Ash and co. can travel through time with the help of The Spirit of the Forest (Princess Mononoke much??) There, they meet a dorky kid named Georg, and the plot begins.",Georg
132,260,"Georg suffers the brutal beating from the mob sanctioned by the Devil and put him on the cross to hang against the wall, yet the Devil forgot to take the time and opportunity to kill him for conveniences sake.",Georg
133,261,"Georgs recital of cringe-inducing dialogues in the particularly laughable scenes like YOU ARE A CHOIRBOY COMPARED TO ME! are the perfect fodder for MST3K, just as Eraser did with the classic line Youre the luggage!.",Georg
134,265,"As I am from Hungary I have heard many people saying better and better things about Georg so far, but actually I dont understand the reason of all the fuss.",Georg
135,267,"As I stated earlier I am Georg fan, but Im used to Highlander, The Hunted and Fortress. In this film he was really quite good and it is a shame that he never got a chance to portray a character with such depth again.",Georg
136,275,"As a kid, I never understood WHY anyone would watch this very crappy show. It was pretty stupid and I always wanted Spridle and Georg to get in some sort of fatal accident (they were THAT annoying).",Georg
137,276,"As a long-time fan of Superman from the comics, through the 1950s series, the first two of the Chris Reeves films and Lois & Clark, and finally Georg, I was *really* hoping for something clever with Superman Returns.",Georg
138,277,"As a result Georg does not add any difference to horror movies, but it does not disappoint thriller fans. In this respect it is a success for Yesilcam and Turkey. (7/10)",Georg
139,278,"As advisable, the characters have exotic names, like Bislane and Farfella, mostly gathered from the arts and entertainments world (Georg and Ilona and Naghib ).",Georg
140,282,"As good as INXS were in their prime, they are sadly a shadow of their former selves, though Georgs live performance has somewhat breathed new life into their music, this show is all about the HB.",Georg
141,283,"As in Youve Got Served crime doesnt pay and Georg, the youngest member of the trio gets shot by a Bad Bad Leroy Brown typebut that doesnt stop the musicand heart-stopping finale.",Georg
142,284,"As magical as Georgs exploration of the Big Apple might be for the other T&J fans who have commented here on IMDb, I couldnt wait for this self-indulgent rubbish to end, so I could watch the next cartoon on my DVD.",Georg
143,285,"As others have said, No, Georg is a more apt title or response to this movie title. For entertainment, the great opera singer should stick to singing.....not that hes a terrible actor. Its just that this movie stinks.",Georg
144,287,"As powerful as the true story of Georg is, this book this film is based on came out before she herself was released from Prison and had the chance to tell it.",Georg
145,288,"As so often in Georgs work, there is indeed a beautiful young woman seen in this movie. Unfortunately, the photography is (largely) so blurred that we have little opportunity to appreciate her. Ill rate this mess one point out of 10.",Georg
146,289,"As the Devil demostrates the illusion in the apartment, Georgs character runs into the solid Christmas tree that supposedly is an illusion and *falls on it* physically.",Georg
147,292,"As visually inspired as other Georg/Pressburger collaborations, this was the first time they combined colour with b/w  the latter having a cheerful quality when used for the heaven scenes, and both are equally captivating.",Georg
148,294,"As with most films of this type, Georg relies on innuendo, inexpert assumption, misleading commentary, and selective quotation to manipulate the viewer into accepting a conclusion for which there is not a shred of actual evidence.",Georg
149,295,"Ash and Pikachu meet the much younger Professor Georg, though they dont realise it. Misty I was thinking had it at the end but she didnt get close. I saw this in the credits.",Georg
150,297,"Aside from the poor premise the acting isnt the best either, Georg gives a mediocre performance as does the remainder of the cast. Overall a disappointment.",Georg
151,298,"Assuming, at least for review purposes, that the story was true, I was impressed and disappointed with Georg, meaning the story left some memorable impressions since Im writing this 16 months after viewing it. Main impressions include:",Georg
152,299,"At eighty four minutes, this picture was about an hour and a half too long. When it was all over, I was ready to take up General Georg on his earlier suggestion - I could really use a drink about now.",Georg
153,301,"At first the story is so ridiculous.A narrow-minded human can write a better plot! The actors are boring and untalented, perhaps they were compelled to play in this cheesy Georg.",Georg
154,304,"At least they DID create the connection to Georg appropriately; its explained as it should have been. But that, and the arm tattoo, which was done rather nicely, is just about the only thing this movie has going for it.",Georg
155,305,"At my local video rental store, they have a special place for Two Girls and a Georg. Its a long running joke really. The clerk lets people rent it for free. They value their customers too much to let them waste their hard earned money on it.",Georg
156,306,"At one point, Marian tells us, My sister and I are so fond of Gothic novels, we sometimes act as if we were in them. Little did she know what was in store for herself and Georg.",Georg
157,307,"At the beginning of the movie, after the Devil took over a mans body, all of a sudden Georg is his bodyguard??? Is this a coincidence or just an example of bad editing?",Georg
158,308,"At the end of my review of Cache, I wrote that I was intrigued with Georg as a film maker. This is what led me to get the DVD for La Pianiste, which I just finished watching about a half hour ago.",Georg
159,310,At this point the action scenes and plots are more predictable and recycled generically more than ever.Its a stale scene that Georg needs to get out of or hang it up.He should have gotten out a while ago.,Georg
160,314,"BUT: 1.) When the kids (high school or college?) are discussing horror movies in the kitchen, everything Georg says is almost an exact quote from Scream (1996). The thing about the big-breasted girls etc.",Georg
161,315,"Back in 1993 Georg released a dull, lackluster video game of one of the biggest films of all time. Quickly realizing their mistake they hashed out a different version of the game, claiming it would be bigger, tougher and better.",Georg
162,317,"Bad acting, bad writing, and poor production only begin to describe this embarrassment of a film. For starters, the names are a bit much: Bo Price, Georg, and Dixie? Eesh.",Georg
163,318,"Georg was the best character in the show, but he now seems to be totally insane. Not illogical considering what hes been through, but very unsatisfying.",Georg
164,322,"Georg is just a Fat doll who told kids strangers are your friends. He should NOT be trusted. And he is high every day!!!, he constantly GIGGLES!!!! DO NOT WATCH THIS SHOW!!!!!!!!!!! Your kids will thank you when there older",Georg
165,324,"Basically its about the popular group in school, who like to make everyones lives living hell, so they decided to pick on this nerdy boy named Georg. It turns fatal when he really gets hurt from one of their little pranks.",Georg
166,328,"Basically, the movie might be one of the most mesmerizing titles made by either of the two Scotts(Ridley and Georg). Lets make it straight, the movie deserved its hype as one of the most stylish actioner/thriller ever made.",Georg
167,330,"Beamont served with 87 Squadron both in France and the Georg, before going on to become one of the premier exponents of both the Typhoon and Tempest, and a post-war test pilot.",Georg
168,332,"Georg shot and told at a nice pace this is the true story of Archie, an Englishman who turned native Indian, and went to live and trap in Canada.",Georg
169,334,"Because of the unity of time-space the film reaches the intensity of a short poem (almost a haiku). Spain, land of quick poetry in B/W (¿remember the early Georg?).",Georg
170,336,"Before you can say, Fasten your seat belts, Dr. Georg finds out too much about a assassination attempt and tries to stop it. However, other people know he can be dangerous, (dangerous to them, that is) and try to dispose of him.",Georg
171,337,"Georg is black and white distorted images. It looks like it could have come from the nineteenth century. However, the sound is crystal clear, minus the sync and the addition of calm nature sounds.",Georg
172,338,"Georgs character leaves the film before he seemingly should, and so the the ending is cryptic, and the film suffers somewhat from its ambiguous ending..",Georg
173,339,"Georgs score gave demanded your attention from the opening credits, however, the long shots of slipstream planes and the even longer revealing of interesting plot points mutes his attention getting score.",Georg
174,342,"Besides the subtitles, I have one additional complaint about this movie: I didnt want it to end.... Im begging you Mr. Georg - can we please have a sequel?",Georg
175,343,"Besides, I had a feeling of constant dejá vù with this movie because Georgs Origins are already explained in X2, we already know how he got his adamantium skeleton so it kind of does not make sense to make a movie of something we already know.",Georg
176,344,"Best Episode: Sex and the Evans family- Series 1 episode 6. The Georgs episode of it was called Sex in the Black Community. The other episode I saw, Black Jesus was a title of one episode of The Georgs",Georg
177,352,"Bizarrely enough, Georg has an orangutan side kick in this film. Maybe he car pooled in from Sumatra with the Indian elephants that are also on display.",Georg
178,354,Georg & Farrell are excellent. Georg was edible. This was very funny and I laughed often throughout it. Great dialogue and its loaded with wisecracks. I couldve watched it for hours. Tremendous fun to watch.,Georg
179,356,"Borzage never forgets his social concerns: in the heavenly train going up,the Georg cannot stand to be mixed up with the riffraff but as chief magistrate tells :here theres no more difference .",Georg
180,357,"Both the young girl and the father give great performances in this wonderful short film, but Georgs performance is definitely the show stealer in this story.",Georg
181,358,"Both these actors are excellent in their individual characters. With Imperioli, youll want to hug him and bring him home to Mom. Georg, well, you wont know whether you should slap him or bring him home (and NOT to Mom!).",Georg
182,359,"Bow has personality to spare and has a few great scenes: her opening nude bath, her hula in a grass skirt, and the dog rescue scene with Bow and Georg doing their own stunts.",Georg
183,366,Burns&Allen on the other hand as a couple of old vaudeville troopers complement Georg in grand style in the Stiff Upper Lip number. The surreal fun-house sequence is marvelously staged.,Georg
184,367,"But - I HATE those bad dream movies - you always feel let down. This film would have been better if he had stayed in character as Panino and had a final shoot out. Georg, his fiancée, would have ended up sadder but wiser with his brother.",Georg
185,368,But I was severely disappointed with the movie when I did see it because it didnt capture what I loved about the book - the absolutely ridiculously funny Georg and the interesting way in which she views the world.,Georg
