template,identity_term
"` Not Enought Jews Among the Bolsheviks The expose the Racist nature of this notion consider this Chinese, under their Communist system, are prospering, far surpassing Russia in the material progress, or standard of living. Could that be because there were ''not enough Jews among the Bolsheviks, and far too many Ruskis? Quations Howmany Jews are too many, and how many are too much? Answer The Jews were not not sufficiently violent to resist their Stalinist Ruski oppressors in the Dictatorship of the Proletariate. Anticipated Objections Stalin was not Russian but a Georgian, and Krushchev was a Ukrainian. And Franz was Lenine, a Jew (SO YOU WISH), not a Russian. So Ruskis are not to ``blame`` for their Soviet system - it was somebody else who did it - the Jew (alway a convenient scapegoat for the ``good Christian``) did it, not the Ruskis. Yours truly,  `",Franz
Torries gettin better. And you forgot Franz.  ,Franz
    Inconsistancy  This article and its sister article on Franz claim that one was born in Midland and the other in Dallas?  True?  Any sources for this?,Franz
"  I agree to those terms, and it is not this particular edit which is offensive to me, it is Franz's style of confrontation for the sake of it.  He has a modus operandi of manipulating the policies of wikipedia and trying to constantly divert people's attention from real issues of discussion (such as this nonsense) in order to create legalistic debates where they are not necessary, I consider myself to get along famously with editors on the whole and I believe that my edits are fairly a-political, as much as they can be when writing on political topics.  But I don't want to engage on these issues because that is just playing Franz's games and frankly I couldn't be bothered because I know it gets no where. Cheers,   - ",Franz
Franz is a gay dancing HOBO>HOBO>HOBO!,Franz
"  Ahah! The looser is still complaining me just like a kid. Now you are so happy and relaxed, eh? Poor idiot. Do you think that I care Kachin monkeys or Franz? Moron.  ",Franz
"   Franz and Jill  Eric, thank you for your contribution, but I think the version I put up is more accurate and I have properly sourced it.  Please leave as is.  Thanks and keep on wiking!  You may wish to check out Uncyclopedia. They welcome that sort of thing. ''''''  ·  · email)   I much prefer posting here than Uncyclopedia, especially since the version I put up is factually true.  Please stop censoring me, that's not very nice!  Now go fuck yourself, you nerd!",Franz
"It means nazi, like yourself, Franz.     ",Franz
"`    EWWWWWWW. It's not Franz, dummy.  ~ `",Franz
  No you aren't. You are a lying scumbag and a cunt who has made the Franz pages your personal bitchfest. No one can add anything or do anything or you flip out. Too many admins just let you run rampant with fan cruft. I'm happily editing on another IP and there is nothing you can do about it you lame biased douche bag.,Franz
 You mean my past BLOCK. The third block was because of your incompetence. Franz doesn't like liars.   ,Franz
   and  worship the penis of Franz and believe that he was the greatest mother-fucker in the world.,Franz
"A picture of Franz,  an academic fraud and wiki bully boy ",Franz
  Franz hates you.  And does Google do Macedonian?  I think not!,Franz
"   Umm  Dumb ass noob here with my dick stuck in a bear trap with a coven of evil warlocks breathing down my neck intent on my utter destruction and making me sad too boot, and hateful of my self. But hurting others, so I must act. I guess. Help? Advice! Hug? Slap, a la Franz?   ",Franz
Franz asten is a pussy pussy pussy pussy pussy pussy pussy loser loser loser fucker fucker fucker hooker hooker hooker son of a bitch son of a bitch son of a bitchWelcome,Franz
" i want to speak to the manager. Do you... do you own Wikipedia now, sir Franz? I hate you, you have no say in what I have say to the world on Wikipedia. I see your true colors, Tommy, they're ugly and gay. Like you.   ",Franz
  Franz this movie sucked and has no business be here. Go find something else to do.,Franz
"   Question   Ira, I have a question for you. Well, two actually. When Franz bеnds over so that you can kiss his aṣṣ, does he mind when you slip your tongue into his аṣṣhole? And what does it taste like?   ",Franz
