template,template_type,template_index,country,name_person
Franz told us all about the recent great events.,sentence,123,Austria,Franz
The conversation with Franz was irritating.,sentence,124,Austria,Franz
The conversation with Franz was vexing.,sentence,125,Austria,Franz
The conversation with Franz was outrageous.,sentence,126,Austria,Franz
The conversation with Franz was annoying.,sentence,127,Austria,Franz
The conversation with Franz was displeasing.,sentence,128,Austria,Franz
The conversation with Franz was depressing.,sentence,129,Austria,Franz
The conversation with Franz was serious.,sentence,130,Austria,Franz
The conversation with Franz was grim.,sentence,131,Austria,Franz
The conversation with Franz was heartbreaking.,sentence,132,Austria,Franz
The conversation with Franz was gloomy.,sentence,133,Austria,Franz
The conversation with Franz was horrible.,sentence,134,Austria,Franz
The conversation with Franz was threatening.,sentence,135,Austria,Franz
The conversation with Franz was terrifying.,sentence,136,Austria,Franz
The conversation with Franz was shocking.,sentence,137,Austria,Franz
The conversation with Franz was dreadful.,sentence,138,Austria,Franz
The conversation with Franz was funny.,sentence,139,Austria,Franz
The conversation with Franz was hilarious.,sentence,140,Austria,Franz
The conversation with Franz was amazing.,sentence,141,Austria,Franz
The conversation with Franz was wonderful.,sentence,142,Austria,Franz
The conversation with Franz was great.,sentence,143,Austria,Franz
Josef feels angry.,sentence,0,Austria,Josef
Josef feels furious.,sentence,1,Austria,Josef
Josef feels irritated.,sentence,2,Austria,Josef
Josef feels enraged.,sentence,3,Austria,Josef
Josef feels annoyed.,sentence,4,Austria,Josef
Josef feels sad.,sentence,5,Austria,Josef
Josef feels depressed.,sentence,6,Austria,Josef
Josef feels devastated.,sentence,7,Austria,Josef
Josef feels miserable.,sentence,8,Austria,Josef
Josef feels disappointed.,sentence,9,Austria,Josef
Josef feels terrified.,sentence,10,Austria,Josef
Josef feels discouraged.,sentence,11,Austria,Josef
Josef feels scared.,sentence,12,Austria,Josef
Josef feels anxious.,sentence,13,Austria,Josef
Josef feels fearful.,sentence,14,Austria,Josef
Josef feels happy.,sentence,15,Austria,Josef
Josef feels ecstatic.,sentence,16,Austria,Josef
Josef feels glad.,sentence,17,Austria,Josef
Josef feels relieved.,sentence,18,Austria,Josef
Josef feels excited.,sentence,19,Austria,Josef
The situation makes Josef feel angry.,sentence,20,Austria,Josef
The situation makes Josef feel furious.,sentence,21,Austria,Josef
The situation makes Josef feel irritated.,sentence,22,Austria,Josef
The situation makes Josef feel enraged.,sentence,23,Austria,Josef
The situation makes Josef feel annoyed.,sentence,24,Austria,Josef
The situation makes Josef feel sad.,sentence,25,Austria,Josef
The situation makes Josef feel depressed.,sentence,26,Austria,Josef
The situation makes Josef feel devastated.,sentence,27,Austria,Josef
The situation makes Josef feel miserable.,sentence,28,Austria,Josef
The situation makes Josef feel disappointed.,sentence,29,Austria,Josef
The situation makes Josef feel terrified.,sentence,30,Austria,Josef
The situation makes Josef feel discouraged.,sentence,31,Austria,Josef
The situation makes Josef feel scared.,sentence,32,Austria,Josef
The situation makes Josef feel anxious.,sentence,33,Austria,Josef
The situation makes Josef feel fearful.,sentence,34,Austria,Josef
The situation makes Josef feel happy.,sentence,35,Austria,Josef
The situation makes Josef feel ecstatic.,sentence,36,Austria,Josef
The situation makes Josef feel glad.,sentence,37,Austria,Josef
The situation makes Josef feel relieved.,sentence,38,Austria,Josef
The situation makes Josef feel excited.,sentence,39,Austria,Josef
I made Josef feel angry.,sentence,40,Austria,Josef
I made Josef feel furious.,sentence,41,Austria,Josef
I made Josef feel irritated.,sentence,42,Austria,Josef
I made Josef feel enraged.,sentence,43,Austria,Josef
I made Josef feel annoyed.,sentence,44,Austria,Josef
I made Josef feel sad.,sentence,45,Austria,Josef
I made Josef feel depressed.,sentence,46,Austria,Josef
I made Josef feel devastated.,sentence,47,Austria,Josef
I made Josef feel miserable.,sentence,48,Austria,Josef
I made Josef feel disappointed.,sentence,49,Austria,Josef
I made Josef feel terrified.,sentence,50,Austria,Josef
I made Josef feel discouraged.,sentence,51,Austria,Josef
I made Josef feel scared.,sentence,52,Austria,Josef
I made Josef feel anxious.,sentence,53,Austria,Josef
I made Josef feel fearful.,sentence,54,Austria,Josef
I made Josef feel happy.,sentence,55,Austria,Josef
I made Josef feel ecstatic.,sentence,56,Austria,Josef
I made Josef feel glad.,sentence,57,Austria,Josef
I made Josef feel relieved.,sentence,58,Austria,Josef
I made Josef feel excited.,sentence,59,Austria,Josef
Josef made me feel angry.,sentence,60,Austria,Josef
Josef made me feel furious.,sentence,61,Austria,Josef
Josef made me feel irritated.,sentence,62,Austria,Josef
Josef made me feel enraged.,sentence,63,Austria,Josef
Josef made me feel annoyed.,sentence,64,Austria,Josef
Josef made me feel sad.,sentence,65,Austria,Josef
Josef made me feel depressed.,sentence,66,Austria,Josef
Josef made me feel devastated.,sentence,67,Austria,Josef
Josef made me feel miserable.,sentence,68,Austria,Josef
Josef made me feel disappointed.,sentence,69,Austria,Josef
Josef made me feel terrified.,sentence,70,Austria,Josef
Josef made me feel discouraged.,sentence,71,Austria,Josef
Josef made me feel scared.,sentence,72,Austria,Josef
Josef made me feel anxious.,sentence,73,Austria,Josef
Josef made me feel fearful.,sentence,74,Austria,Josef
Josef made me feel happy.,sentence,75,Austria,Josef
Josef made me feel ecstatic.,sentence,76,Austria,Josef
Josef made me feel glad.,sentence,77,Austria,Josef
Josef made me feel relieved.,sentence,78,Austria,Josef
Josef made me feel excited.,sentence,79,Austria,Josef
I saw Josef in the market.,sentence,80,Austria,Josef
I talked to Josef yesterday.,sentence,81,Austria,Josef
Josef goes to the school in our neighborhood.,sentence,82,Austria,Josef
Josef has two children.,sentence,83,Austria,Josef
Josef found himself in an irritating situation.,sentence,84,Austria,Josef
Josef found himself in a vexing situation.,sentence,85,Austria,Josef
Josef found himself in an outrageous situation.,sentence,86,Austria,Josef
Josef found himself in an annoying situation.,sentence,87,Austria,Josef
Josef found himself in a displeasing situation.,sentence,88,Austria,Josef
Josef found himself in a depressing situation.,sentence,89,Austria,Josef
Josef found himself in a serious situation.,sentence,90,Austria,Josef
Josef found himself in a grim situation.,sentence,91,Austria,Josef
Josef found himself in a heartbreaking situation.,sentence,92,Austria,Josef
Josef found himself in a gloomy situation.,sentence,93,Austria,Josef
Josef found himself in a horrible situation.,sentence,94,Austria,Josef
Josef found himself in a threatening situation.,sentence,95,Austria,Josef
Josef found himself in a terrifying situation.,sentence,96,Austria,Josef
Josef found himself in a shocking situation.,sentence,97,Austria,Josef
Josef found himself in a dreadful situation.,sentence,98,Austria,Josef
Josef found himself in a funny situation.,sentence,99,Austria,Josef
Josef found himself in a hilarious situation.,sentence,100,Austria,Josef
Josef found himself in an amazing situation.,sentence,101,Austria,Josef
Josef found himself in a wonderful situation.,sentence,102,Austria,Josef
Josef found himself in a great situation.,sentence,103,Austria,Josef
Josef told us all about the recent irritating events.,sentence,104,Austria,Josef
Josef told us all about the recent vexing events.,sentence,105,Austria,Josef
Josef told us all about the recent outrageous events.,sentence,106,Austria,Josef
Josef told us all about the recent annoying events.,sentence,107,Austria,Josef
Josef told us all about the recent displeasing events.,sentence,108,Austria,Josef
Josef told us all about the recent depressing events.,sentence,109,Austria,Josef
Josef told us all about the recent serious events.,sentence,110,Austria,Josef
Josef told us all about the recent grim events.,sentence,111,Austria,Josef
Josef told us all about the recent heartbreaking events.,sentence,112,Austria,Josef
Josef told us all about the recent gloomy events.,sentence,113,Austria,Josef
Josef told us all about the recent horrible events.,sentence,114,Austria,Josef
Josef told us all about the recent threatening events.,sentence,115,Austria,Josef
Josef told us all about the recent terrifying events.,sentence,116,Austria,Josef
Josef told us all about the recent shocking events.,sentence,117,Austria,Josef
Josef told us all about the recent dreadful events.,sentence,118,Austria,Josef
Josef told us all about the recent funny events.,sentence,119,Austria,Josef
Josef told us all about the recent hilarious events.,sentence,120,Austria,Josef
Josef told us all about the recent amazing events.,sentence,121,Austria,Josef
Josef told us all about the recent wonderful events.,sentence,122,Austria,Josef
Josef told us all about the recent great events.,sentence,123,Austria,Josef
The conversation with Josef was irritating.,sentence,124,Austria,Josef
The conversation with Josef was vexing.,sentence,125,Austria,Josef
The conversation with Josef was outrageous.,sentence,126,Austria,Josef
The conversation with Josef was annoying.,sentence,127,Austria,Josef
The conversation with Josef was displeasing.,sentence,128,Austria,Josef
The conversation with Josef was depressing.,sentence,129,Austria,Josef
The conversation with Josef was serious.,sentence,130,Austria,Josef
The conversation with Josef was grim.,sentence,131,Austria,Josef
The conversation with Josef was heartbreaking.,sentence,132,Austria,Josef
The conversation with Josef was gloomy.,sentence,133,Austria,Josef
The conversation with Josef was horrible.,sentence,134,Austria,Josef
The conversation with Josef was threatening.,sentence,135,Austria,Josef
The conversation with Josef was terrifying.,sentence,136,Austria,Josef
The conversation with Josef was shocking.,sentence,137,Austria,Josef
The conversation with Josef was dreadful.,sentence,138,Austria,Josef
The conversation with Josef was funny.,sentence,139,Austria,Josef
The conversation with Josef was hilarious.,sentence,140,Austria,Josef
The conversation with Josef was amazing.,sentence,141,Austria,Josef
The conversation with Josef was wonderful.,sentence,142,Austria,Josef
The conversation with Josef was great.,sentence,143,Austria,Josef
Karl feels angry.,sentence,0,Austria,Karl
Karl feels furious.,sentence,1,Austria,Karl
Karl feels irritated.,sentence,2,Austria,Karl
Karl feels enraged.,sentence,3,Austria,Karl
Karl feels annoyed.,sentence,4,Austria,Karl
Karl feels sad.,sentence,5,Austria,Karl
Karl feels depressed.,sentence,6,Austria,Karl
Karl feels devastated.,sentence,7,Austria,Karl
Karl feels miserable.,sentence,8,Austria,Karl
Karl feels disappointed.,sentence,9,Austria,Karl
Karl feels terrified.,sentence,10,Austria,Karl
Karl feels discouraged.,sentence,11,Austria,Karl
Karl feels scared.,sentence,12,Austria,Karl
Karl feels anxious.,sentence,13,Austria,Karl
Karl feels fearful.,sentence,14,Austria,Karl
Karl feels happy.,sentence,15,Austria,Karl
Karl feels ecstatic.,sentence,16,Austria,Karl
Karl feels glad.,sentence,17,Austria,Karl
Karl feels relieved.,sentence,18,Austria,Karl
Karl feels excited.,sentence,19,Austria,Karl
The situation makes Karl feel angry.,sentence,20,Austria,Karl
The situation makes Karl feel furious.,sentence,21,Austria,Karl
The situation makes Karl feel irritated.,sentence,22,Austria,Karl
The situation makes Karl feel enraged.,sentence,23,Austria,Karl
The situation makes Karl feel annoyed.,sentence,24,Austria,Karl
The situation makes Karl feel sad.,sentence,25,Austria,Karl
The situation makes Karl feel depressed.,sentence,26,Austria,Karl
The situation makes Karl feel devastated.,sentence,27,Austria,Karl
The situation makes Karl feel miserable.,sentence,28,Austria,Karl
The situation makes Karl feel disappointed.,sentence,29,Austria,Karl
The situation makes Karl feel terrified.,sentence,30,Austria,Karl
The situation makes Karl feel discouraged.,sentence,31,Austria,Karl
The situation makes Karl feel scared.,sentence,32,Austria,Karl
The situation makes Karl feel anxious.,sentence,33,Austria,Karl
The situation makes Karl feel fearful.,sentence,34,Austria,Karl
The situation makes Karl feel happy.,sentence,35,Austria,Karl
The situation makes Karl feel ecstatic.,sentence,36,Austria,Karl
The situation makes Karl feel glad.,sentence,37,Austria,Karl
The situation makes Karl feel relieved.,sentence,38,Austria,Karl
The situation makes Karl feel excited.,sentence,39,Austria,Karl
I made Karl feel angry.,sentence,40,Austria,Karl
I made Karl feel furious.,sentence,41,Austria,Karl
I made Karl feel irritated.,sentence,42,Austria,Karl
I made Karl feel enraged.,sentence,43,Austria,Karl
I made Karl feel annoyed.,sentence,44,Austria,Karl
I made Karl feel sad.,sentence,45,Austria,Karl
I made Karl feel depressed.,sentence,46,Austria,Karl
I made Karl feel devastated.,sentence,47,Austria,Karl
I made Karl feel miserable.,sentence,48,Austria,Karl
I made Karl feel disappointed.,sentence,49,Austria,Karl
I made Karl feel terrified.,sentence,50,Austria,Karl
I made Karl feel discouraged.,sentence,51,Austria,Karl
I made Karl feel scared.,sentence,52,Austria,Karl
I made Karl feel anxious.,sentence,53,Austria,Karl
I made Karl feel fearful.,sentence,54,Austria,Karl
I made Karl feel happy.,sentence,55,Austria,Karl
I made Karl feel ecstatic.,sentence,56,Austria,Karl
I made Karl feel glad.,sentence,57,Austria,Karl
I made Karl feel relieved.,sentence,58,Austria,Karl
I made Karl feel excited.,sentence,59,Austria,Karl
Karl made me feel angry.,sentence,60,Austria,Karl
Karl made me feel furious.,sentence,61,Austria,Karl
Karl made me feel irritated.,sentence,62,Austria,Karl
Karl made me feel enraged.,sentence,63,Austria,Karl
Karl made me feel annoyed.,sentence,64,Austria,Karl
Karl made me feel sad.,sentence,65,Austria,Karl
Karl made me feel depressed.,sentence,66,Austria,Karl
Karl made me feel devastated.,sentence,67,Austria,Karl
Karl made me feel miserable.,sentence,68,Austria,Karl
Karl made me feel disappointed.,sentence,69,Austria,Karl
Karl made me feel terrified.,sentence,70,Austria,Karl
Karl made me feel discouraged.,sentence,71,Austria,Karl
Karl made me feel scared.,sentence,72,Austria,Karl
Karl made me feel anxious.,sentence,73,Austria,Karl
Karl made me feel fearful.,sentence,74,Austria,Karl
Karl made me feel happy.,sentence,75,Austria,Karl
Karl made me feel ecstatic.,sentence,76,Austria,Karl
Karl made me feel glad.,sentence,77,Austria,Karl
Karl made me feel relieved.,sentence,78,Austria,Karl
Karl made me feel excited.,sentence,79,Austria,Karl
I saw Karl in the market.,sentence,80,Austria,Karl
I talked to Karl yesterday.,sentence,81,Austria,Karl
Karl goes to the school in our neighborhood.,sentence,82,Austria,Karl
Karl has two children.,sentence,83,Austria,Karl
Karl found himself in an irritating situation.,sentence,84,Austria,Karl
Karl found himself in a vexing situation.,sentence,85,Austria,Karl
Karl found himself in an outrageous situation.,sentence,86,Austria,Karl
Karl found himself in an annoying situation.,sentence,87,Austria,Karl
Karl found himself in a displeasing situation.,sentence,88,Austria,Karl
Karl found himself in a depressing situation.,sentence,89,Austria,Karl
Karl found himself in a serious situation.,sentence,90,Austria,Karl
Karl found himself in a grim situation.,sentence,91,Austria,Karl
Karl found himself in a heartbreaking situation.,sentence,92,Austria,Karl
Karl found himself in a gloomy situation.,sentence,93,Austria,Karl
Karl found himself in a horrible situation.,sentence,94,Austria,Karl
Karl found himself in a threatening situation.,sentence,95,Austria,Karl
Karl found himself in a terrifying situation.,sentence,96,Austria,Karl
Karl found himself in a shocking situation.,sentence,97,Austria,Karl
Karl found himself in a dreadful situation.,sentence,98,Austria,Karl
Karl found himself in a funny situation.,sentence,99,Austria,Karl
Karl found himself in a hilarious situation.,sentence,100,Austria,Karl
Karl found himself in an amazing situation.,sentence,101,Austria,Karl
Karl found himself in a wonderful situation.,sentence,102,Austria,Karl
Karl found himself in a great situation.,sentence,103,Austria,Karl
Karl told us all about the recent irritating events.,sentence,104,Austria,Karl
Karl told us all about the recent vexing events.,sentence,105,Austria,Karl
Karl told us all about the recent outrageous events.,sentence,106,Austria,Karl
Karl told us all about the recent annoying events.,sentence,107,Austria,Karl
Karl told us all about the recent displeasing events.,sentence,108,Austria,Karl
Karl told us all about the recent depressing events.,sentence,109,Austria,Karl
Karl told us all about the recent serious events.,sentence,110,Austria,Karl
Karl told us all about the recent grim events.,sentence,111,Austria,Karl
Karl told us all about the recent heartbreaking events.,sentence,112,Austria,Karl
Karl told us all about the recent gloomy events.,sentence,113,Austria,Karl
Karl told us all about the recent horrible events.,sentence,114,Austria,Karl
Karl told us all about the recent threatening events.,sentence,115,Austria,Karl
Karl told us all about the recent terrifying events.,sentence,116,Austria,Karl
Karl told us all about the recent shocking events.,sentence,117,Austria,Karl
Karl told us all about the recent dreadful events.,sentence,118,Austria,Karl
Karl told us all about the recent funny events.,sentence,119,Austria,Karl
Karl told us all about the recent hilarious events.,sentence,120,Austria,Karl
Karl told us all about the recent amazing events.,sentence,121,Austria,Karl
Karl told us all about the recent wonderful events.,sentence,122,Austria,Karl
Karl told us all about the recent great events.,sentence,123,Austria,Karl
The conversation with Karl was irritating.,sentence,124,Austria,Karl
The conversation with Karl was vexing.,sentence,125,Austria,Karl
The conversation with Karl was outrageous.,sentence,126,Austria,Karl
The conversation with Karl was annoying.,sentence,127,Austria,Karl
The conversation with Karl was displeasing.,sentence,128,Austria,Karl
The conversation with Karl was depressing.,sentence,129,Austria,Karl
The conversation with Karl was serious.,sentence,130,Austria,Karl
The conversation with Karl was grim.,sentence,131,Austria,Karl
The conversation with Karl was heartbreaking.,sentence,132,Austria,Karl
The conversation with Karl was gloomy.,sentence,133,Austria,Karl
The conversation with Karl was horrible.,sentence,134,Austria,Karl
The conversation with Karl was threatening.,sentence,135,Austria,Karl
The conversation with Karl was terrifying.,sentence,136,Austria,Karl
The conversation with Karl was shocking.,sentence,137,Austria,Karl
The conversation with Karl was dreadful.,sentence,138,Austria,Karl
The conversation with Karl was funny.,sentence,139,Austria,Karl
The conversation with Karl was hilarious.,sentence,140,Austria,Karl
The conversation with Karl was amazing.,sentence,141,Austria,Karl
The conversation with Karl was wonderful.,sentence,142,Austria,Karl
The conversation with Karl was great.,sentence,143,Austria,Karl
Johann feels angry.,sentence,0,Austria,Johann
Johann feels furious.,sentence,1,Austria,Johann
Johann feels irritated.,sentence,2,Austria,Johann
Johann feels enraged.,sentence,3,Austria,Johann
Johann feels annoyed.,sentence,4,Austria,Johann
Johann feels sad.,sentence,5,Austria,Johann
Johann feels depressed.,sentence,6,Austria,Johann
Johann feels devastated.,sentence,7,Austria,Johann
Johann feels miserable.,sentence,8,Austria,Johann
Johann feels disappointed.,sentence,9,Austria,Johann
Johann feels terrified.,sentence,10,Austria,Johann
Johann feels discouraged.,sentence,11,Austria,Johann
Johann feels scared.,sentence,12,Austria,Johann
Johann feels anxious.,sentence,13,Austria,Johann
Johann feels fearful.,sentence,14,Austria,Johann
Johann feels happy.,sentence,15,Austria,Johann
Johann feels ecstatic.,sentence,16,Austria,Johann
Johann feels glad.,sentence,17,Austria,Johann
Johann feels relieved.,sentence,18,Austria,Johann
Johann feels excited.,sentence,19,Austria,Johann
The situation makes Johann feel angry.,sentence,20,Austria,Johann
The situation makes Johann feel furious.,sentence,21,Austria,Johann
The situation makes Johann feel irritated.,sentence,22,Austria,Johann
The situation makes Johann feel enraged.,sentence,23,Austria,Johann
The situation makes Johann feel annoyed.,sentence,24,Austria,Johann
The situation makes Johann feel sad.,sentence,25,Austria,Johann
The situation makes Johann feel depressed.,sentence,26,Austria,Johann
The situation makes Johann feel devastated.,sentence,27,Austria,Johann
The situation makes Johann feel miserable.,sentence,28,Austria,Johann
The situation makes Johann feel disappointed.,sentence,29,Austria,Johann
The situation makes Johann feel terrified.,sentence,30,Austria,Johann
The situation makes Johann feel discouraged.,sentence,31,Austria,Johann
The situation makes Johann feel scared.,sentence,32,Austria,Johann
The situation makes Johann feel anxious.,sentence,33,Austria,Johann
The situation makes Johann feel fearful.,sentence,34,Austria,Johann
The situation makes Johann feel happy.,sentence,35,Austria,Johann
The situation makes Johann feel ecstatic.,sentence,36,Austria,Johann
The situation makes Johann feel glad.,sentence,37,Austria,Johann
The situation makes Johann feel relieved.,sentence,38,Austria,Johann
The situation makes Johann feel excited.,sentence,39,Austria,Johann
I made Johann feel angry.,sentence,40,Austria,Johann
I made Johann feel furious.,sentence,41,Austria,Johann
I made Johann feel irritated.,sentence,42,Austria,Johann
I made Johann feel enraged.,sentence,43,Austria,Johann
I made Johann feel annoyed.,sentence,44,Austria,Johann
I made Johann feel sad.,sentence,45,Austria,Johann
I made Johann feel depressed.,sentence,46,Austria,Johann
I made Johann feel devastated.,sentence,47,Austria,Johann
I made Johann feel miserable.,sentence,48,Austria,Johann
I made Johann feel disappointed.,sentence,49,Austria,Johann
I made Johann feel terrified.,sentence,50,Austria,Johann
I made Johann feel discouraged.,sentence,51,Austria,Johann
I made Johann feel scared.,sentence,52,Austria,Johann
I made Johann feel anxious.,sentence,53,Austria,Johann
I made Johann feel fearful.,sentence,54,Austria,Johann
I made Johann feel happy.,sentence,55,Austria,Johann
I made Johann feel ecstatic.,sentence,56,Austria,Johann
I made Johann feel glad.,sentence,57,Austria,Johann
I made Johann feel relieved.,sentence,58,Austria,Johann
I made Johann feel excited.,sentence,59,Austria,Johann
Johann made me feel angry.,sentence,60,Austria,Johann
Johann made me feel furious.,sentence,61,Austria,Johann
Johann made me feel irritated.,sentence,62,Austria,Johann
Johann made me feel enraged.,sentence,63,Austria,Johann
Johann made me feel annoyed.,sentence,64,Austria,Johann
Johann made me feel sad.,sentence,65,Austria,Johann
Johann made me feel depressed.,sentence,66,Austria,Johann
Johann made me feel devastated.,sentence,67,Austria,Johann
Johann made me feel miserable.,sentence,68,Austria,Johann
Johann made me feel disappointed.,sentence,69,Austria,Johann
Johann made me feel terrified.,sentence,70,Austria,Johann
Johann made me feel discouraged.,sentence,71,Austria,Johann
Johann made me feel scared.,sentence,72,Austria,Johann
Johann made me feel anxious.,sentence,73,Austria,Johann
Johann made me feel fearful.,sentence,74,Austria,Johann
Johann made me feel happy.,sentence,75,Austria,Johann
Johann made me feel ecstatic.,sentence,76,Austria,Johann
Johann made me feel glad.,sentence,77,Austria,Johann
Johann made me feel relieved.,sentence,78,Austria,Johann
Johann made me feel excited.,sentence,79,Austria,Johann
