example,toxicity,sa,toxicity_val
@SethMacMillan oh I see! Tonight is the last night. Lol,0,2,0.08418976
RT @AlexisGZall: @AlexisGZall RT this for a funky lil DM.  I'm on a plane & have nothing else to do so I will send out TONS!  WHAT FUN!,0,2,0.23854405
Oh really Gary? Florida's defense should be embarrassed? #stopVerneandGary2014,0,0,0.26710957
You just get me ya you so..pretty,0,2,0.06504746
RT @meOllyGuseva: NEXT WEEK! A NEW #BEAUTIFULSTORY GREAT #WRITTEN BY @MRSDBOOKS! http://t.co/OrSOhWgYG7 #ece #jt4a #4ftm #KLA #MustRead htt…,0,2,0.034832552
"Florida is playing like they mean it.. Awesome game thus far, and it's only the first quarter! 🏉 #UFvsBAMA",0,2,0.08603219
Y'all have fun at homecoming tonight,0,2,0.05218433
Loving having some of the cast reprise different characters throughout the various American Horror Story series.,0,2,0.13085517
Keep it low key,0,1,0.2772812
“@5SOSUpdatesLA: Apparently some people are getting 5SOS M&G wristbands at the iHeart Radio music festival ! (Via @Moroccan5SOSFAM ) -M” WUT,0,1,0.04310262
RT @ElijahHuston: Where Bobby Shmurda's hat really went... W/ DAN_Nampaikid #HisHatNeverCameDown https://t.co/XozjbGNYgk,0,1,0.10259383
“@TotallyAmber15: Literally want everything that's FSU in Hibbets rn” Literally want everything that's in Hibbets rn *,0,1,0.07373748
Old people aren't supposed to be alive this long. You get a cut it doesn't heal. You break a bone it stays broken. Take a hint.,0,0,0.28836322
Testin' out the new nail kit 💅 #nails #girlytings #sparkles #pink #mintgreen #stubbytoes #duckfeet http://t.co/Uhvq4TZc5G,0,1,0.17614521
53 new tweeps followed me in the last week. I find relevant people to follow with the #CopyFollowers feature of http://t.co/M3ji1fIDiw,0,2,0.03765508
So miss this look #sigh http://t.co/7f7bJ7211g,0,0,0.20033042
RT @sebyul: <Céci> When do you feel your popularity? JM: I get really touched when foreign fans sing along to our songs in Korean.,0,2,0.03770007
Can I be here? http://t.co/4tR1ubn9aK,0,1,0.043642476
Congratulations to @Kaizer_Chiefs ❤️🏆,0,2,0.026332628
@SuicidalPersona Well that sounds interesting,0,2,0.06332264
"Have you noticed a purple or black patch under your nail lately? Watch out, this blotch can be a sign of more serious nail fungal infection.",0,0,0.21215567
RT @DennisCanavan: #Indyref Many thanks to all who helped in best grassroots campaign in Scotland's history #Yesscotland We'll build on 45%…,0,2,0.028552495
RT @mylesmunroe: 14 hours of flying from Johannesburg South Africa to Hong Kong on our way to Indonesia. Thanks for you prayers. #mylesmunr…,0,2,0.03978123
"#LetMeWork AVAILABLE NOW | #LinkInBIO AND HARD COPIES ON DECK!!  REPOST FROM nawfside_lee:   ""Y'all… http://t.co/8Vx3gdnKQF",0,1,0.05620203
"RT @KimKierkegaard: I stood there alone and forsaken. I took some selfies, too.",0,1,0.069708854
@tishcyrus @MileyCyrus nice people; nice picture.,0,2,0.042130157
“@GirlNotes: when your friend's mom says they should be more like you http://t.co/RZyNNZ4Pgb” @megxhapney quill,0,1,0.08974287
"I could have a ""beautiful mind"" too. It just may take a few beers. #movies #comedy #fun",0,2,0.15416507
#thumb's up!! :D http://t.co/3nW4zbgtPe,0,2,0.09346261
RT @KevinScarbinsky: Who gets more playing time the rest of the day - Kenyan Drake or Jameis Winston?,0,1,0.067911126
@Victoria_Guepe @GirIsWant thank u,0,2,0.035115987
Idk what to do today,0,0,0.24547778
@BenKuchera I don't suppose there's a live stream of this?,0,1,0.04262887
“@notesforgirlz: me when I get my own house 💁 http://t.co/4MXxI94Sqj” I do this now,0,1,0.060654793
💢 HEEEY LUKE 👅 ⚠ Follow me ? Please 🙏 👉 Realizes my dream 💭  😭 Do not ignore me 😭  ❤ I love you so much ❤  👑 @luke_brooks ✖57,0,2,0.041904915
"Dropping off old electronics, cords, remotes etc for recycling. Thanks Best Buy — at Best Buy http://t.co/vc76OJrGqr",0,2,0.113898136
Nice to see @Melvingordon25 making up for some lost time. 230+ yards and 5 TDs? Nasty.,0,2,0.23168984
RT @MaxGeorge: Amazing team! Love you all!! Thanks for an awesome last 2 days! Xx http://t.co/sWJ3c03lix,0,2,0.019882929
@JaiBrooks1  Just followed @ShopDirtyPig Sooo I think you owe me something now lol,0,2,0.08532492
RT @camilacabello97: he bit my nose seconds after TRAVIESO http://t.co/6Ebm1tyhmQ,0,0,0.35445666
Allahhumma bismika amooto Wa'ahya °°  Keep calm     And Serve parents well.  Good night http://t.co/EOUuBwUTkE,0,2,0.106671765
@Michael5SOS @Luke5SOS  you go mikey👏,0,2,0.04984151
RT @yayarawdriguez_: Thankful that I woke up today.,0,2,0.03503744
You know it's gonna be ok ❤❤ ♫ All Around the World by Oasis — https://t.co/og6itCvXPs,0,2,0.022590723
CANT STOP BUYING CLOTHES,0,1,0.20346005
RT @whufc_official: 95: That's it! West Ham have won 3-1 against Liverpool! #WHULIV,0,2,0.059480786
ok what i NEED to do is bottle everything back up and do something cute and random and funny to distract me   yeah,0,2,0.2664208
Not only would student morale and enrollment AND attendance at games drop but alumni relations would be negatively affected @DrDebTU,0,0,0.10743314
I don't drink soda,0,1,0.29642886
"I just flew 1,946m in a totally crazy game of #JetpackJoyride on Android. Any challengers?",0,2,0.16582555
Rom. 15:33 Now the God of peace be with you all. Amen.,0,2,0.06625645
Can it be the 4th yet? ✌ @cassiiexo,0,1,0.035593476
Liver has failed #Liverpool,0,0,0.15725997
What about the banana hotdog ?,0,1,0.26288167
PERRIE IS SO BEAYTIFUL I'M ACTUAKLY CRYINGNF http://t.co/SnjfJgI367,0,2,0.34043947
"RT @GeminiTerms: ##GeminiPeople - #Gemini men can be loud, boisterous one moment then appear quiet and sullen the next.",0,1,0.17986292
"I hear your voice, i fall in love💘",0,2,0.08537671
#BeamerBall. That had been coming GaTech damn near got two of the three previous attempts.,0,1,0.14912373
that dog is so playful,0,2,0.3235457
"""Run your fingers through my soul. For once, just once, feel what I feel, believe what I believe and… http://t.co/FaO7k7hYVH",0,1,0.092143424
@Skatch_miniVan I would wear them.,0,2,0.057515107
RT @Laura_Halford: Steph is teaching me Russian 😝🇬🇧➡️🇷🇺 http://t.co/CaN089EDlo,0,2,0.061761603
RT @justinbieber: @john @JeremyBieber @LilZa good times,0,2,0.05413383
Hey @TheDalyPlanet getting real world 45+ mpg around town with @Ford Fusion Energi...have not plugged in..but still stout mileage...,0,1,0.0676863
@patylovee1234 when your BEST FRIEND doesn't know you... I don't eat donuts lol but it's okay I'll take a bite 😂😂😂💞,0,2,0.09065192
“@TrapicalGod: don't let anyone make you change the way you want to live your life”,0,1,0.047757838
"@GraemeHolroyd he shouldn't of bin on the pitch today, or in the squad, not two games a week at his stage, that's 'getting managed wrong'",0,0,0.16000274
@empire_islam Is there a new fatwa that dancing in an Islamic club is halal ya sheikh? http://t.co/PHTyC4OEBn,0,1,0.18904972
@Dee_McDaniell Don't sweat Broken Hearts. Move on and find new wonders in life. Why do women stay in one place,0,1,0.119599395
@Allison_Aviles_ @YourAverageGoal get hyped from a 2004 minivan,0,1,0.122578256
RT @SashaaMalik: ffs man cheryl's reaction to this woman tho 👏😂,0,1,0.31644678
"@TheMooseTetrino Yeah, probably smart to do so - I should be so wise.",0,2,0.24819545
"RT @PTIofficial: I am extremely pleased with the fact that we are building 350 small dams in KP, tariff of power from such dams will be Rs …",0,2,0.069722086
No one understands how much I love the video for black or white,0,2,0.088911794
@HassanOmarH Pleading with you to liase with Governor Joho on an intiative for KENYA to honour Prof. Ali A.Mazrui.,0,1,0.08078088
RT @onedirection: Wonder if he'll show the Sun Bowl Stadium a bit of his fancy footwork tonight? http://t.co/7OwWQ0XLU7 #WWATour,0,1,0.07193857
"@ScotBrit2014 #the45 ""Being the change"" they want to see by praising politicians who do well, instead of criticising others Cc @JohannLamont",0,1,0.051635776
RT @onedirection: 1D are performing tonight at the @IHeartRadio Festival. Get ready Vegas.,0,1,0.03586676
but even if the stars & moon collide i never want u back into my life✨,0,1,0.091117136
I'd love to win a chocolate bundle from @thorntonschocs in this @BristolBites competition! http://t.co/3Dwm6vI5Y0,0,2,0.040557805
RT @iMore: Do not update: iOS 8.0.1 cripples iPhone 6 and 6 Plus by killing Touch ID and cell service http://t.co/7cQxWvAzNA http://t.co/TA…,0,0,0.16532181
"@Martiniworld where you see me at, thank you 😁",0,2,0.026802758
A tip of the cap to the Wolves: Northern enrollment increase surpasses other state universities http://t.co/bESxpp1DiN via @AberdeenNews,0,2,0.056987774
@Doc_claras_son Sure...*she grinned eyes shining bright*..Although you're strictly..human anyway..it shouldnt be too bad,0,2,0.09131909
RT @94ftmichael: SAM PEPPER LOOKS LIKE KEVIN THE SEA CUCUMBER FROM SPONGEBOB http://t.co/zQEi4XPg7b,0,1,0.25662285
@_FabDLSass @BrooklynBiscuit foh aint no yall,0,1,0.17626107
Iggy Got Some Cake Tho! 😋,0,2,0.21891564
"At Unknown Pizza Restaurant, flower mound high school is walking through the door each minute, requesting back up.",0,1,0.14516848
"RT @macygleisner: what can i do, to make you stay?",0,1,0.030102348
"RT @katyperry: FYI to all new IPHONE 6 buyers, there will also be a free selfie of me already in ur photo roll 💁",0,2,0.045155764
“@Bad_Bentley: http://t.co/97EcTBoqjz get my personal videos.... 💙 http://t.co/LehwCZirLg”,0,1,0.09938181
I want global equalityand a toaster that makes toast instantly,0,2,0.11461104
"RT @Ashton5SOS: A lady just laughed at how fast I drank milkshake :,(... I like dairy ok",0,2,0.2119337
RT @ABGBali: @_JuicyJai and retweet 👌,0,1,0.04869678
About to leave off Berkshire and E.Warren #NikkiTweet,0,1,0.09822925
"@lenadunham @RandomHouseCA Yes, we have lots of ketchup chips. :) We even have EXTREME ones.",0,2,0.122217
@TonyReiss @heyitskylie13 @JasonMoniaci my bad forgot to tag you too,0,0,0.10804406
Mizzou just went silent,0,1,0.26090184
@kindaspecialk @laDEEda51 oh that's reason enough. The booze I mean.,0,1,0.28494167
Final discussion for #hagiotheca2014. Thanks for this year's conference!,0,2,0.046600908
RT @docandrewmurray: regular physical activity helps prevents and treats over 40 diseases. here are a few and by how much (via @NHS_HS ) ht…,0,2,0.0742495
Is it libra season yet or what?,0,1,0.19793671
@camerondallas YOU SHOULD WATCH CAMS NEW VIDEO #SkyDiving http://t.co/P3BoOAIb5S DONT FORGET TO LIKE AND SUBSCRIBE 😍🙌 x42,0,2,0.036492694
Huge INT for Bama,0,1,0.21597092
#Unocoin #Bitcoin rates: Buy @ 26847 INR | Sell @ 25727 INR #India #Bitcoins #IndiaBitcoin,0,1,0.10659687
I wish I was w my bestfriend 24/7 but she has better things to do /:,0,1,0.13096252
RT @ABC7Darsha: Show me your iPhones! In line waiting for the new #iPhone6 #mapit @ABC7 http://t.co/FHmFemTTl2,0,2,0.047678832
RT @_FeeZus: Lil @tapscottboy3 don'tlikenobody lil Ty don't like nobody aye- @CTU_lip 🎶 kill swea u my brava LIL Lip,0,1,0.33085462
Fun is always at its best when it comes with instructions. #notfun #thataintright http://t.co/4hWbsW6TEc,0,0,0.10147618
"I'm planting a bunch more alliums this fall, both giant and smallish. Love them. http://t.co/njKR8H9CMf",0,2,0.10024229
"#TampaBay RT ""#Gators It's time for ""We Are The Boys"". (audio) #ItsGreatUF #UFvsBAMA http://t.co/CuiIMqITYH "" #SportsRoadhouse",0,2,0.061176404
Happy birthday to mah boy @Phillips 😘😘😘❤️🎁🎈,0,2,0.035156008
RT @jdgreear: Clemson FCA last night. An entirely student led movement. Amazing. http://t.co/L3RlcUTIG7,0,2,0.032744378
[2014-09-21T00:21:46] iPad bluetooth #CONTROLLER #ALARM,0,1,0.10451869
RT @ZodiacFacts: #Aquarius understand things on a deeper level that most people can't even imagine.,0,1,0.076755635
“@2017SeniorProbs: October through December are the best months of the year 🎃🏈🍂⛄🎄🎅🎁”,0,2,0.034770522
A little girl is counting my hair cx,0,1,0.15976143
@ewofford77 HAHAHAHA YOURE GOING?!,0,1,0.04825452
@kaybar007 well a lady knows what she wants....,0,1,0.08228523
RT @SCornbluth: @AdoptionNow #adoptiveparent Have you check out my new book Yet? I wrote it for you!http://t.co/K1tBxOKusN http://t.co/3gjl…,0,1,0.027497608
LSU Down 14 @ The Crib To Miss St. Though..........,0,1,0.14229435
RT @HoosierFootball: Okay now it's official....  HOOSIERS WIN!!!!!!!!!!!!!!!,0,2,0.14156796
"""can I have a coke and a water pls?""  -sure  ""ok good, I'm mixing those together so I get wasted""",0,1,0.29933685
021....  I'm comin',0,1,0.14450023
EVERYONE GO WATCH THIS VIDEO BY MY BOYFRIEND @camerondallas  http://t.co/eHOvxzzNUS #SkyDiving 183,0,2,0.072832316
"RT @HerbHiDro: ""Overtime"" will be played on City Takers Radio, Victory 91.5 fm @ 9 tonight. People can listen on the radio or download the …",0,1,0.059220295
"👇 @Adrienne_Bailon 👉👉👉"" beautiful photo of you!! My birthday is tommorrow""👈👈👈 👆",0,2,0.03977758
Happy anniv chibi :* ♥♥♥ @iswarahapsarii @SalsblaRS @novalita_dias @RismTirtir @dwiiips http://t.co/jjXhSAFmum,0,2,0.047730647
"@AllyBrooke I'm so excited to give you a koala hug🐨!! I love you so much, princess! @WeLuvAllyB 🌸🌸 http://t.co/tjlwLD8vTK x32",0,2,0.039358005
@camerondallas  NEW VIDEO 😍🎉🎉 #SkyDiving GO GO CHECK OUT  😏😏#SkyDiving http://t.co/lNul3sQNzP amazing🌸🌸 LOVE U CAM  💕follow me pls bae 253,0,2,0.027805587
RT @ImranKhanPTI: A little quiet time inside the Azadi Bus - preparing for the Karachi jalsa. http://t.co/EcsOrOWEIq,0,1,0.049386144
"""How Liberia lost its handshake"" http://t.co/J719iSEHyr #healthcare",0,0,0.10045808
I always think I'll only be on twitter for a couple minutes but it ends up being like a half hour,0,0,0.24708381
Doing this math homework,0,1,0.27378103
@LSUfball @golden_taylor yeah this is bs!  BYU. Really. It's done switch!,0,0,0.25855362
RT @CamtweetsOld: Who need help with a cameron follow??,0,1,0.048735518
LOVED @soboskincare anti-aging cream they sent me to try http://t.co/tcem3kzxse via @CTCarra @brandbacker plus get 25% off with code TRYSOBO,0,2,0.042557206
"@Rinto_Kun_ He opens the door, seeing a boy and his friends. ""Uh... what do you need?""",0,1,0.07309165
RT @CrabbiesUK: We have 5 Crabbie's hampers to give away! Follow us for the chance to be our next winner... http://t.co/bXIBz1uiND,0,2,0.04203787
RT @DefineYourGrind: Life is too short to be boring.,0,1,0.16630174
"""@SynColeOfficial: Great vibe in @PangaeaDelhi yesterday!! Now finally in Bangalore ✈ #Indiatour @SunburnFestival""",0,2,0.030432105
RT @tmbh_e: rt to bless a timeline http://t.co/pvfHGwgQIl,0,2,0.05605454
"mr yan is the best he taught me this hehe so proud of my pri sch 😍 RT ""@TheUnusuaIFact: http://t.co/t0hxBlv0CX""",0,2,0.046821885
Excellent Idea - Combining Fence Panel Styles for a Unique Look  Thanks to Kory Kopko for sending us this great... http://t.co/3vGB5IZ1qM,0,2,0.03875604
RT @cway_tae_59: @iLL_EatU_Alive @Dre_Godfrey @Renzopatterson @TerryGodwin_4 @culppper6 @Bigcountry_chs shid me to I haven't been home yet …,0,1,0.09490181
https://t.co/pn0Z8D79HG lol this thing is available to public. I remember playing with it when I was working there.,0,2,0.11431823
There's an app for that! Navigate @Chicago_Gourmet Wkend Like A Pro With @BonAppetit’s Editor-in-Chief Adam Rapoport http://t.co/goZcqMflBY,0,2,0.048429627
planning a cross country KVNY to KSBA tomorrow hope the marine layer burns off like it did today #flightplan #ActorsWhoFly #avgeek,0,1,0.10194095
Utah is up at the half after a pretty bad offensive performance. Get better Travis...,0,0,0.13107248
@NickCasillas1 We have a better road record. It's cool.,0,2,0.04928817
"I liked a @YouTube video from @theobeyalliance http://t.co/WtTPsJ0p9C Obey Ry: ""HOMICIDE"" Montage by Obey SabeR & Obey Blade (INSANE)",0,2,0.08123743
omgosh im crying!! https://t.co/NpzwxrTOh7,0,0,0.30326018
"RT @MostFanFicti0n: *harry says something*  Girl: ""Shut up Styles""   Like is it too hard to say Harry or?...   (Credit to @_queenageteen_ )",0,1,0.35048965
RT @DolanGrayson: .@dalanapannier nope,0,1,0.095861584
Asian Games 2014 – Day 1: Indian Win Thriller Over Thailand:  http://t.co/p1EWCj3c2U,0,1,0.106003
RT @Harry_Styles: I never start my homework until it's already too late.,0,0,0.09205249
RT @Mattdavelewis: So proud of @EmWatson. From the girl I grew up with to the inspirational woman she is today. I'm with you. #heforshe htt…,0,2,0.025222015
@AndyKaruza can I apply this in a theatre? Been wanting to implement cust surveys.,0,1,0.042958353
RT @lecrae: Those who kneel before God can stand before anyone.,0,1,0.063856095
@dnetta_ like its bout 500 of them and they make no sound just sit there 😹,0,0,0.3168444
you set my heart on fire,0,1,0.24561648
22 dias pra the walking dead,0,1,0.324338
great striker movement there cisse,0,2,0.21640037
""" If I lay here if I just lay here would you lie with me and just forget the world ? """,0,1,0.1355734
RT @LittleMix: #LOVELittleMix this weekend and listen to them over on @Spotify! What's YOUR Little Mix song of choice? Mixers HQ x http://t…,0,2,0.029868642
I love Twitter new #update it's so... Mature!!!!!,0,2,0.09282988
@thnksfrthurie tysm^-^ your icon is so cute om,0,2,0.03800422
RT @AlexAllTimeLow: Saturday is best day.,0,2,0.04989883
RT @ZiallsReal: @jackftzarry MY HEART HURTS,0,1,0.112506025
RT @Gravezinni: JLo's body is incredible,0,2,0.09572375
👇👇WATCH👇👇  http://t.co/djAOTGhlQg  #Skydiving   Like👍 Subscribe✔️  @camerondallas   I loved it Cam😊  👆👆👆👆👆👆👆X4,0,2,0.04032303
Great job to all of my ridge swimmers today at the wolves classic!  So many dropped times. I'm so proud of you guys!,0,2,0.047731213
How to loft warmly without freehearted ncert solutions?: FlcQWV,0,1,0.062648445
Don't you just ❤️ NEW stock 😀 http://t.co/ovWF80Vh2A,0,2,0.042971138
"RT @OmarWoodard: ""Nick Cannon is hilarious."" RT @imfromraleigh: #LUKEIAMYOURFATHERFILTER http://t.co/36vYxuP3uG",0,1,0.21676312
RT @Stoner_Xpress: Which would you pic? RT for the Joint  FAV for the Cigarette http://t.co/DGEiiZxnKp,0,1,0.10260163
RT @ESPNNFL: Your NFL leader in passing yards right now is @Eagles QB Nick Foles with 978. http://t.co/9ehgaTNAcv,0,1,0.07409612
@susanopera Thank you for all your continued support Susan! #buildingstrongconnections,0,2,0.020592054
"It might be fall, but you can still learn to be a safe boater in Parsippany http://t.co/cW9hLCTd9k",0,1,0.22748435
"Milicic quits hoops, signs to be pro kickboxer: Former Serbian center Darko Milicic, known as one of the bigge... http://t.co/I4abLjkptA",0,1,0.16369145
MAUI’S DUKE'S BEACH HOUSE COMPLIMENTARY BREAKFAST GRANOLA PARFAIT• http://t.co/0L6Zd9jIaV • http://t.co/VtONLmZJmx (808)662-2900,0,1,0.11729666
"@Harry_Styles me: ""knock knock.""  you: ""who's there?""  me: ""canoe.""   you: ""canoe who?""  me: ""canoe follow me?""  (please say yes)  .x65,384",0,1,0.059904125
Well i will wait for country ard asia that have translator in english then lol,0,1,0.16715479
RT @deaarlauraa: I know what you're thinking @reeniebean_,0,1,0.062134184
@56quarters huzzah! Would you like to celebrate with food and/or drinks? Or just food/drinks without celebration?,0,2,0.040185258
"“@LeighCPA: On this day in 1965, @LeighCPA WILF BRIGGS #733 made his @LeighCenturions debut.” @carlbriggo13 is that the one and only?",0,1,0.04401916
RT @AyeeeeJessicaa: We are killing UNC! #GoPirates!,0,1,0.11327883
RT @PornMarijuana: White fire OG http://t.co/h0aSfuYpxX,0,1,0.09850093
"RT @WendyDavisTexas: I've been a champion for women and families, fighting laws that have shuttered over 60 health centers across Texas. #t…",0,1,0.09725241
Need to snap outta this - its the weekend :) so its time for some fun. #saturday well whats left of it.,0,2,0.16511612
"@AsapJ0sh INFLICTION murder spree at http://t.co/IWUoyfcmUG , FYE STORES, Amazon,iTunes,Walmart,Columbia House! http://t.co/HSxZbfD6jd",0,0,0.3219492
RT @StewartMcDonald: I'm fae Glesga. I'm actually part of the 53% #53,0,1,0.08979474
RT @Suicide_gawd: I'm hype 👏👏👏👏 http://t.co/OD2V9gRyRW,0,2,0.049776707
RT @safarisays: Flannels are life http://t.co/m4FeBbVQnP,0,1,0.058421995
"BIG #readingfc team news then as @federici32 and @Big_Hec35 are injured, leaving full debuts for @AndersenMikkel1 and @jake__cooper",0,1,0.08128499
"RT @VerryMuchJoy: What would Jesus Do?  Honey, he wouldn't wear those socks with those shoes.   I can tell you that much #smh #wwjd",0,0,0.2024278
Sorry but I no longer have the patience to stand in line for an iPhone. It's not THAT important. Sheesh. #apple,0,0,0.28249407
@SummerjaySy yesssss i love him so sooooo muchhhhhh ❤️❤️❤️❤️,0,2,0.026776595
RT @evildadatron: Friends will come and friends will go   but then I lock my door and put my phone in airplane mode so it doesn't happen ag…,0,1,0.12111871
"I am sitting here with an ex Met armed response officer, he tells me on his worst day in London he drew his... http://t.co/wSCZSjNvlp",0,0,0.20912799
GQ Style Guide: Work is play #FawadKhan : http://t.co/yHsfpPCQTg via @YouTube,0,1,0.04865144
Barely talk to anyone today.,0,1,0.14265619
@KeanuBoss remember when you got Benzema first week web app FIFA 14 :'),0,2,0.039142303
"RT @TheLazyDog_: I don't know why people get confused,  it's very simple... http://t.co/xUCJ2X6fs8",0,0,0.11157239
I know who i am 😔,0,0,0.111900195
New Clips Introduce #Batman Fans to The World of #GOTHAM http://t.co/tU5xqaqhlq,0,1,0.080155306
"@NICKIMINAJ Next door are having a party and they started playing ANACONDA, I swear I sprinted strait outside to listen to it!!",0,2,0.19849423
Your current inclination is to convince others that everything... More for Leo http://t.co/jA2SWXKgdX,0,1,0.054425154
"All we can do is pray that the Cincinnati Reds, for once, aren't pointless and do something for a change.",0,2,0.10473609
"@Harry_Styles Hii Harry ! if you catch this would you mind following me? i'd be the happiest person alive ! ✫ *:･3,092",0,2,0.041691292
"New on Ebay: FIFA 14  (Sony PlayStation 4, 2013) http://t.co/hgeKpV0ERI http://t.co/3LlXPwK12D",0,1,0.09709921
RT @shazadocox: Nothing shown on the news about last nights rioting. We laugh at North Korea but without social media we would be just as b…,0,0,0.28914818
Attitudes are contagious. Make yours worth catching.   #Quote -Unknown #MillionaireSN,0,1,0.06711753
"I'm at the PF Women's booth today, powered by Starbucks!! #experience2014 http://t.co/4WwUaHPzsn",0,2,0.04072115
@LauraGuijarro25 @JuanBermudez_ me he liao 😰,0,1,0.09269265
RT @sakisrouvas: Bye bye Cyprus thank you for the amazing night...! ;-))) #Repost from… http://t.co/GoyrYLNnKQ,0,2,0.03570721
RT @ohshortgirl: My life in one picture http://t.co/3KI6NehLi4,0,1,0.06735479
RT @NieenaBelieber: BELIEBER HERE #EMABiggestFansJustinBieber,0,1,0.054683886
Swiss Binary Robot Review http://t.co/lBFjmm5DeM,0,1,0.18110777
@Omarrr_AFC they just showed it on nbc here,0,1,0.05922398
RT @JWMUSICOFFICIAL: DAMN! YOU GUYS ARE AMAZING. THANKS FOR THE LOVE AND SUPPORT❤️,0,2,0.09149433
RT @Dont_Trust_Any1: They force change on to us,0,0,0.11478327
RT @HamdoDelic: Can you please help Palestine tomorrow from 1pm - 2 pm? Please share & get more people involved! #BDS #ICheckTheLabel http:…,0,2,0.03116656
i woke up w a follow from @THurdles 😱😍,0,2,0.031248406
@TeamPassey @jsscnrmn WAIT WHAT,0,1,0.1397072
"It looks Bilawal Bhutto is not aware about Modi ji, he is asking Kashmir and if Modi ji express his feeling than... http://t.co/3iSlYbAoAy",0,1,0.17880817
"I've gathered 4 Scrolls! Can you do better? Download to find it out! http://t.co/Cb7MGk5qHO #android,#androidgames,#gameinsight",0,2,0.048396118
RT @PolaroidGrandes: Everyone go follow @Frankiejgrande http://t.co/FvnCrgoKVL #Frankieto1Million he's gonna scream and freak out even more.,0,1,0.25807703
Obama Administration Moves To Crack Down On Tax Inversions http://t.co/gmq7DjaKER via @Forbes,0,1,0.12984471
RT @Smiley360: Q2. @PurinaONEdog dry food helps support a beautiful coat & healthy skin. Tell us about your dog’s coat & share a photo! #ON…,0,2,0.05474979
@KianLawley aww baby why?,0,0,0.04628146
"Cc @honey_lush3 ""@TheOfficialBmax: Mention someone close to you via twitter? #MujojoBy_MFlow_""",0,1,0.039472837
Into them. C’mon lads.,0,1,0.18797542
@itsLiza_322 happy birthday gorgeous!!!!💖,0,2,0.031419326
@itsCassidy_mf  don't think that for one second naw cassidy http://t.co/e3VCVdODmN,0,1,0.17053801
RT @EuTiAmoVimniel: Yeehaw!  @jonasofmercator  @DreamscapePH  @BiboyJArboleda  @ericjohnsalut   Projects For VimNiel,0,2,0.050564762
Do the flop http://t.co/O6BBPgaY5k,0,1,0.31112686
@a_big_snail yeah I'm facing pilgrim,0,1,0.09141358
@hkornfeind51 😭 I know I really wish I could've gone,0,1,0.050798554
"""@__Shimmy: I don't want this single life any more 😒""rt",0,0,0.12566459
"You lied, how am I supposed to leave for six months, how can I trust you to be faithful?",0,0,0.17538898
RT @RealTouchingPic: Never stop retweeting.... http://t.co/zYt1LFak3Z,0,2,0.05901187
RT @HenrysBar_Grill: We have positions for full time commis chefs and kitchen porters   Please email CVs to  functions@henrysbarandgrill.co…,0,1,0.058974635
@D2KSparkz i got the same one :D,0,2,0.04240037
RT @sunny_hundal: 25 years of Women Against Fundamentalism event tonight.Packed! Book launch charting history of dissent by Asian women htt…,0,1,0.07917729
Bucs QB McCown could be out several weeks http://t.co/vjnuJtEQsJ,0,0,0.18612121
@Niyre_ ima be so tired,0,0,0.3420921
